,reviews,positive_score,negative_score,result
19,Met up with my husband for a quick lunch date. We ordered the lunch special of the personal pizza and pop for $5! Can't beat that deal. It was my first time here and I am a fan. I love the burnt cheese on the edges! Prob cut and burnt my mouth since I have zero patience once my pizza gets to the table. We also ordered the jalapeño poppers which were basic but always good. Will def be back whenever I am in the area!,3,0,positive
20,"As a visitor to Chicago, Pequods was a good pizza to ""try once, but not again"". It's a bit off the beaten path, especially if you're staying in the central downtown areas (Mag Mile, River North). I arrived there soon after they opened for lunch on a Saturday, and boy did the place fill up quickly. I opted for their pan pizza, of course, with meatball on one half and sausage on the other. It takes 45 minutes between ordering and receiving the pizza. I agree with the reviewer who said that Pequods is more Detroit-style than Chicago-style. IMO, it's a different type of pizza. It's good, and the caramelized crust is delicious, but I found the rest of the pizza to be underwhelming.",3,0,negative
21,"I came here with a few friends with the goal of finally trying out some of Chicago's deep-dish pizza. This place serves pan pizza but based on the way service explained it, this pretty much still counts.This place has a bar and a lot of appetizer options in addition to the pizza. Pan pizza takes a long time to make, but if you get an appetizer and a few drinks, the time will fly by. The fries are delicious and from what I've seen, the appetizers come in awesome portion sizes, so it's definitely worth your buck.The pan pizza coming felt like an early Christmas gift. There is a LOT of pizza and the service helped us by cutting and plating it for us. We got a couple of vegetable toppings on one half and regular cheese on the other half. It turned out to be absolutely delicious and filling. Definitely worth a try and absolutely worth it.Considering that each slice of pan pizza is basically 2 pizza slices equivalent of food, the price is amazing if you split it among a few people. This place is also open pretty late, so this could make for good pregame or post-game food, depending on how you go about your night.Overall, fantastic experience. Definitely check this place out if you're in the area.",13,1,positive
22,"Damn good pizza!  All you need to order is a large deep dish sausage and you are good!  The carmelized crust is outstanding!  If you don't like this pizza, stay home with your frozen pizzas and thin crust appetizers!Get here early, it's packed every night from 6 to 9.Service is good, it's also a Nebraska Cornhusker bar which is a shame.",5,2,positive
23,"Pequod's was the first stop on our epic Chicago Pizza Tour, where we were introduced to our first #pizzastyle: pan pizza. And oh, was it delicious. We were each served a huge, thick slice of their pepperoni and sausage pie, with its hearty layer of house-made red sauce, gooey melted cheese, and topped with amazing meat. Especially the sausage. Omg, that sausage. It was so good I'm seriously considering booking the next flight back to O'Hare. The restaurant had set aside a special seating area just for our group, which was a nice perk of being on the tour cuz this place was hopping. We also got some drinks, and I chose a local beer. Which was sort of a mistake, considering the size of the pizza. The beer was good but I was only able to drink about half of it due to the yummy pizza filling my tummy.  The service was also super friendly, they didn't seem annoyed by us as some restaurants can when you go on one of these food tours.  They were also very efficient, as we were served right away and were able to eat and drink and be out of there in about 30 minutes so we could be off to our next stop. I will definitely return here on my next trip, whenever that may be!",9,1,positive
24,Today for toppings we had Italian Beef Sausage mushrooms spinach basil green olives. It's Fine and the caramelized crust is there. But it's only the edge of your pizza the crust itself is just Ok.  I prefer Pequod's with the extra sauce that's makes it distinctive for me. Otherwise this pizza is just average,2,0,negative
25,"Okay I'M SAYING IT. This is the best deep dish in Chicago.We got the pepperoni and sausage medium, and it was everything I would ever want it to be. The crust, the sauce to cheese ratio, the amount of pepperoni on each slice... I'm still dreaming about it.I called in the order ahead of time, and they wouldn't put it in the oven until we were seated - which confused me. Why would I bother calling in ahead of time when I can just order at the table for the same amount of time? Don't see why that is an option. We still waited 30 min for the pizza. It is so out of my way, but I will definitely be back.",1,2,positive
26,"Pequod's was my first ever deep dish and it was sooo good! I went here on my first trip to Chicago with a group of girls and we deliberated over which pizza place to try. Pequod's won and I'm glad they did! We stopped in around 4pm on a Saturday and they were busy but not slammed. We were able to get a table right away. Note that you will still wait 45 minutes for your pizza. It takes some time for them to caramelize the crust and this is what sets Pequod's apart. We ordered two pies for 5 people and we still had leftovers. Deep dish is filling but we also had late dinner reservations so we didn't want to eat too much. I ate the veggie deep dish and it was so good! The crust was hearty and delicious and the cheese was everything. I would like to try a couple of other deep dish spots for the sake of comparison but I can't imagine it getting much better. The service was good and the atmosphere is lively but laid back. I am not sure what part of town we were in because we took a Lyft and I wasn't paying attention. I think this is the only location, though. I would definitely recommend!",11,0,positive
27,"What a disappointment it's all crust. This is supposed to have extra cheese on it where is the extra cheese? Actually where are the ingredients? You really have gone downhill, serving this is an embarrassment.",0,3,negative
28,"I may not be from a place that is known for any famous pizza and I am normally a NY style fan...but Pequod's turned me into a deep dish fan as well...BUT as long as it's from here! Peqoud's was our 2nd deep dish place and it blew our minds away. We went on an off time (around 2-3pm) on a Sunday but there was still a little wait (about 15-20 minutes) so we wanted to save time and instead grabbed 2 empty seats at the bar since we know we also have to wait another 45 minutes for the pizza to be cooked. We ordered a small pepperoni and sausage deep dish to share. The crust is covered in melted cooked cheese- which gave the crust a great crunch. The small deep dish was enough for 2 of us. They loaded and I mean loaded the pizza with pepperoni and sausage! And the best thing, it was probably high quality meats because it was not greasy at all. The sausage was probably the best I had on a pizza. The tomato sauce wasn't too sweet or sour, it was the right cooked down tangy flavor. Also, the crust was not hard as a rock, instead was the right softness and hardness. We enjoyed every last bite...",10,3,positive
29,"I can see why this place has such a huge cult following. Great deep dish pizzas that have a slight char on the outside, descent priced drinks and a relaxing and chaotic atmosphere. The wait was like 45 minutes to get a table but luckily I was allowed to squeeze into the bar and skipped all the wait. Still, call ahead if you can or just don't come starving. It's worth the wait if you have to.",2,1,positive
30,"I've been so excited to try this place for years.  I've been on the hunt for a similar go to for deep dish! We got here after a walking tour ended and were seated quickly!  The tables and chairs are old and my chair was even taped up.  It looks very aged. I'm so glad we got there early because when we left there was a 45 minute wait.We quickly knew what we wanted (Sausage and pepperoni pizza), and I ordered a beer and my husband ordered a diet drink. The pizza came out about 35 minutes later, which was what we anticipated.  I was very excited for the cheese pull when she served us our slices but there was barely one.  Note: next time I'll order extra cheese.  However, there were a lot of toppings and I still really loved this pizza it just wasn't like the videos I've seen before. One thing to note, when the bill came it ""suggested"" tips on the iPad; however, it was based on the subtotal plus tax rather than the sub-total... I have to say that was a bit shady to me, as sales tax is over 10% in Chicago and is not supposed to be included as part of tipping and I bet most customers don't even pay attention to this. There is an option to change your tip to a different percentage or dollar amount, but you have to notice what is happening.  I hope this gets changed. I'd like to give them another try when we visit the city again.",6,1,positive
31,"Maybe it's because I haven't had deep dish in a while, but Pequod's was really not all that everyone else had hyped it up to be...I went to Pequod's when a friend from out of town was visiting Chicago (usually the only times I eat deep dish these days is when someone is visiting). I was incredibly excited because I had heard so many great things about Pequod's-- that it was better than all the other deep dish restaurants. I felt like the vibe of the place was...unique. The restaurant is actually quite large, has a lot of different nooks and crannies, with multiple screens projecting various channels at the same time. We were placed in the very back, and it actually felt quite dark where we were. But maybe that's the vibe Pequod's is going for-- I won't hold it against them.As for the pizza itself, we ordered ahead of time and waited about 25-30 minutes for the pizza to come out (which is not the longest I've waited). I will hand it to them -- I really enjoyed the pizza crusts. Cheesy, crispy/slightly burnt (a good thing!), but not too overwhelming at the same time. As for the rest of the pizza however, I thought it was pretty average. Maybe I'm more of a cheese person, but I thought the pizza was very dough-y and lacked a solid amount of sauce + cheese. We added pepperoni and basil to our pizza, which was ok.Overall, I felt like this place didn't live up to the hype (or perhaps the issue was that there was too much hype to begin with?). Maybe it's just not for me, though.",10,3,negative
32,"Bam!  Quality Chicago style deep dish pizza!  Although I ordered it to go and had to wait 25 minutes until I got to my hotel, it was still delicious and the crust was crispy.  I got the pepperoni and sausage pizza.  The ingredients were fresh and plentiful.  Careful what size you order as this pizza is satisfying and filling.  This is a must stop by place if you are in Chicago.  Don't miss the opportunity to have the best Chicago style deep dish in the country.  Even if you don't like deep dish, give this one a try.  You will be",6,0,positive
33,"For most of my life, I considered Pequods to be the best pizza in Chicago.  Recently I had a pie from there for take out.  It was my first time having Pequods in almost a decade.  It's out of the way for me and the wait time is serious.  But I was in the area and craving deep dish.  I usually only eat thin crust these days.  I like Detroit style too.To my shock, I found I don't like this pizza anymore.  It is 90% bread.  There is almost no cheese or sauce.  The best thing about the pizza was the toppings.  The mushrooms were particularly succulent.The burnt crust is still nice, but I can get that at Jets or Fat Chris's now, and Detroit style is preferable to pan.I think pan pizza is gross now.  I thought Pequods was deep dish all these years.  Oops.  I tried.  I was excited to eat it.  But after the first few bites I knew I was eating just a pile of bread.  It's not balanced.  Lesson learned.I got take out on a Monday night.  I stood in an absolutely jam packed, claustrophobic area not meant for standing, with several others picking up and frantic servers competing for space.  Very, very annoying.  I'm sad to not like this pizza anymore.  I'd say if you love bread more than sauce or cheese, and generally go for pan style, you'll love it.  It's not for me though.",11,5,negative
34,"I wish I could give a 5 for food and 2 for customer service....The hostess station was a HOT MESS when we got there around 7:30 pm on Saturday.  We expected to have a wait, but not a 2.5 hour one!  That just seems like poor management and overall time management!  It made it extremely frustrating to listen to the hostess tell guest after guest 2-2.5 hour wait when I was looking at 3 empty tables within sight of the entrance!  Lucky, we were able to grab 2 seats at the bar and order right from there.  The bartender was working like crazy to not only serve her guests by run the bar for the entire place.  It was quite disappointing to see 2 staff members standing on their phone the ENTIRE time we sat at the bar....how is there a 2.5 hour wait but not all hands on deck?The pizza was a great and we'd go back for more!  CAREFUL....don't over order.  The small was plenty for 2 people!",4,3,positive
35,"I have been wanting to come here for 4 YEARS. Don't be dumb like me and wait that long. My husband and I went in for dinner earlier in the week before a movie at Webster Place. Since it was  a weekday, there was no wait. But I know for sure there is usually a long wait for a  table at high traffic times. We ordered onion rings and a medium sausage pizza. I thought to myself, maybe the hype isn't real. OH IT REAL. The crust of the pizza is so good, it's worth it. For sure try this if you haven't already.  The onion rings we perfect, I like that it's served wit bbq sauce.  I can't wait to go back. The service is quick and the prices are fair.",6,2,positive
36,"Pequod's.  Strange name, delicious pizza.I'm not certain why the whale on the menu is wearing thong underwear on its head, but I do know that the pizza is fantastic.The atmosphere is that of a college pizza/sports bar.  A majority of it's patrons seem to be college students.  I felt like an old geezer, and I'm only 40. This place is extremely busy, and the line was out the door...on a Sunday afternoon.  Thankfully our pizza tour was able to walk right in, as they were expecting us.  I felt bad for the people waiting outside in the sun!Their deep dish has a lighter, airy crust, but very thick.  When you add the cheese and sauce, you get a very unique type of pizza.Oh, and do yourself a favor - EAT ALL OF THE CRUST.  It looks burnt, but that's the best part -  ""carmelized crust.""  It's a layer of cheese that melts together with the crust.  A tiny piece of heaven right there!I probably won't ever be in this neighborhood again, but if I am, I'll definitely drop in!",8,2,positive
37,"Well worth the wait!  Even with the plethora of tables upstairs and downstairs, be prepared to wait awhile.  However, the service is excellent and the deep dish is in a class of its own.  The burnt cheese up the back of the crust just makes this the best place for Chicago pie, hands down.",3,0,positive
38,"By far the best pizza in Chicago! A month ago I met a guy in an Uber we shared in San Diego and directed me to Pequod's staying this is where Chicagoans frequent and boy I'm glad I met him. This was the best pizza I've tried in my 4 visits to Chicago and will only eat pizza there from now on. Decor-it's an old brick building with two floors of dining and a bar on both floors. The walls have a mix of Chicago sports paraphanelia and Chicago history. Tight seating area upstairs and down, and a very small bar upstairs. Service-I sat at the bar, so really can't comment on service, but bar tender was decent and brought me what I asked. Food-Pizza is Phenomenal!!!! Perfectly seasoned with a blend of spices like oregano and garlic. The crust was crisped to perfection and topped with tons of cheese, sausage, and pepperoni's. Garlic cheese bread was also perfection! Simply put this place rocks and is amazing. Beware there are long lines, but that is testament of how good food is. Can't wait to go back!!!",11,0,positive
39,"I am a lover of thin crust!!!Having said that, never ever eat thin crust here..it's sad..and a pathetic excuse for pizza BUT...The deep dish here is SO yummy. I love the sausage here even though I usually avoid sausages (colon cancer and all, blah blah). Simply put, this place is an exception for me. I eat a deep dish pizza with sausage here!! Totes breaking away from my usual preferences. Try it yourself. You might surprise yourself too!",2,5,positive
40,"I visited the Morton Grove location 8 years ago and I absolutely loved it.  I still enjoyed the pizza at this newer Chicago location, but it didn't taste quite as amazing at the one I had at the Morton Grove location.  The crust seemed more burnt than the caramelized crust I remember.  Maybe it's because the Morton Grove location is the original, and the oven used has the special flavor from years of baking pizza. One tip if you plan to eat lunch on a weekday - call in your order.  Then text them when you are 15 minutes away.  They will reserve your seat and your pizza will come out in about 15-20 minutes after you are seated.",3,0,positive
41,"If Lou Malnati's crust got combined with Pequod's topping, it would make the best deep dish pizza. Our group of four waited about an hour to be seated during peak dinner time. Your group should place your pizza order soon after being seated, because the large pizza takes 45 minutes to cook. We ordered the large pizza, added pepperoni, jalapeño, garlic, and meatball. The service was not great. Our waitress rarely came around to check in on us. We had to flag her down and ask for things like a beer or soda refills multiple times. We ended up canceling our pitcher of beer due to the long wait. The second story was not well ventilated and got uncomfortably warm during dinner. Although the toppings were very generous, I did not love the crust at Pequod's. It was too cakey, thick, and dry in my opinion. That combined with the service and long wait made this experience fall short of my expectations.",7,2,negative
42,"I cannot tell you how disappointing my experience at Pequod's was.  Based on all the reviews as well as how many times it's on food shows, I had high expectations.  My husband had been before and kept telling me it wasn't that great, but of course, I needed to try for myself.  The first time, he got deep dish and I was sure that was the reason for his negativity.  We don't like deep dish.So we got thin crust of sausage and garlic.  30 minutes later the pizza comes out and it's covered in cheese and sauce.  The cheese was a little too overpowering and the sauce was very tomato based.  But what I didn't like that much was the skimpiness of sausage (the last 5 pizza slices didn't have any on it), and the crust just wasn't that great.  While the crust was extremely thin on the bottom, it was very doughy on the side.  I also thought the crust would have that caramelized / burntness that the deep dish does.  It didn't.   So we left most of the crust and the last 4-5 slices.  We didn't even feel it was worth the effort to box it up.  That disappointing!On the plus side - we had the Pequod's Salad (romaine, pepperoni, peppers, cucumbers, mozzarella cheese, etc) and Italian Dressing.  This was excellent.  The lg salad was great to split between us and the dressing was so much better than your usual Italian as it was full of spices.Our server was also very good.  Attentive on the drinks and everything.We later found out as we were leaving that they have an extra thin crust where there is less side crust.  I don't remember it on the menu, but even still, we will not be back to try it.",10,3,negative
43,"First off, we were hyped up a lot before coming here! We were told that this was essentially the best pizza in Chicago. So off the bat we had really high standards of this place. We walked in, and there was a sigh that said the wait time was about 40 mins for pizza AFTER we were seated. At this point we decided to just put in a to go order since they said that would only take 40-45 minutes. I personally think it was overrated. I mean it wasn't bad pizza but it definitely wasn't the best pizza in Chicago. Actually I am not sure if I would call it pizza, it was more like pizza bread. We got a pan pizza, half cheese and half sausage. It looked more like a deep dish pizza when it came out of the box. It was a think and crispy crust (actually the crust was kind of charred/ burned). Super tasty, but again, tasted like good pizza bread, not pizza. I am willing to try a thin crust and dine in next time but not sure I will ever wait 2+ hours to eat here!",7,2,negative
44,"I honestly expected so much more from a place that is this hyped up. Would definitely prefer any other deep dish place (Gino's East, Lou's and Giordano's) over Pequod's.Where to even begin? First off, the service is terrible. We called at 4:00PM on a Sunday for pickup was told it would take 50 minutes to prepare the food. We arrived at 5:20 due to bad traffic. I went inside and paid and was told my name would be called when the food was ready. I expected the food to come out right away since it had been 80 minutes since I called but nope, it took 10 minutes to just get part of our order (the soup and salad). Then we waited another 10 minutes to get the two large pizzas that we ordered, but we were still missing our cheesy garlic bread. The lady bringing us our food seem to have no idea about what we ordered. After waiting another 5 minutes for our garlic bread, they forgot the marinara sauce (which costs extra $0.65 btw). So basically we had to wait almost two hours after we ordered to receive our entire order.Now the food. We ordered two large pizzas, one with pep, bacon, peppers and mushrooms, and one with sausage, pineapple and spinach. They completely neglected to put pineapple on one pizza and put pepperoni instead. Also, each topping is $3, making each pizza around $30-$32. The pizza was basically an inch thick bread with toppings and lacked sauce. They also put an obnoxious amount of pepperoni on the pizza, some areas were 4 slices thick, making the pizza taste extremely heavy and salty. The crust was also black, burnt, and hard to chew.The pequods salad ($10) is probably one of the worst salads I've ever had. The menu didn't list any of the ingredients in the salad so I didn't know what to expect. The salad contained old wilted lettuce, and had pepperoni and sliced cheese on top, making it basically a pizza except with crappy lettuce as the base instead of bread. The tomatoes were borderline rotten, they were bitter and brown inside. I also ordered a vinaigrette dressing, but received two sauce containers of olive oil and two sauce containers of balsamic vinegar; did they expect me to make my own dressing? Usually vinaigrette comes premixed with seasoning. The cheesy garlic bread was basically baguette sliced in half with a sliced of cheese on top. By the time we got home, the bread was cold and hard and had to be warmed up again. TLDR; pretty much every aspect of our experience was extremely disappointing. No idea why people tolerate their service and food",7,12,negative
45,Ever since I've been to Burt's place in Skokie I've lovers pequods the place is bustling as busy sometimes a wait but worth it. I love sausage mushroom onion a little well done yum,3,0,positive
