,positive_score,negative_score,result,predicted
4730,11,0,1,1
3358,8,2,1,1
3364,3,0,1,1
2850,2,1,1,1
3890,4,1,0,1
965,3,0,1,1
2221,7,1,1,1
2470,1,2,0,0
1096,2,0,1,1
2663,7,6,0,0
3662,5,1,1,1
70,13,2,0,1
1261,6,2,1,1
2537,2,0,1,1
1998,2,1,1,1
3306,9,1,1,1
2189,10,4,1,1
695,1,0,0,1
3879,2,1,1,1
4035,8,0,1,1
995,2,0,1,1
1535,6,0,1,1
3391,7,0,1,1
103,3,0,1,1
1121,0,2,0,0
1469,2,0,1,1
1624,8,1,1,1
2283,5,3,1,1
913,4,1,1,1
3811,3,1,1,1
2508,0,0,1,1
692,4,0,0,1
3162,5,1,1,1
132,4,2,1,1
4648,1,1,1,1
3123,7,1,1,1
85,6,4,0,0
4151,3,0,1,1
529,2,0,1,1
73,10,6,0,0
4137,3,4,1,0
4557,4,2,1,1
851,13,2,0,1
248,7,2,1,1
1651,4,0,1,1
4389,10,0,0,1
266,1,0,1,1
10,1,1,0,1
4220,6,0,1,1
3172,4,5,0,0
3552,3,1,1,1
2546,1,1,1,1
4073,6,4,0,0
3158,3,1,1,1
1471,1,1,1,1
4899,0,0,0,1
599,3,0,1,1
2232,8,1,1,1
1676,1,2,1,0
2371,9,0,1,1
121,4,4,0,0
4707,2,0,1,1
2738,2,1,0,1
2765,5,1,1,1
491,4,3,1,0
2814,1,0,1,1
4667,4,2,1,1
4769,2,0,1,1
1578,1,0,1,1
583,3,0,1,1
4780,6,2,1,1
2100,0,3,0,0
1899,4,0,1,1
4889,9,1,1,1
3009,15,1,1,1
192,4,3,1,0
1136,4,0,1,1
4355,8,1,1,1
3202,1,1,0,1
4628,13,8,0,0
1673,7,2,1,1
4242,4,3,1,0
958,0,1,0,1
636,1,0,0,1
3597,7,0,1,1
1669,7,0,1,1
1412,6,1,1,1
1587,14,2,1,1
1231,3,0,1,1
770,4,1,1,1
2563,6,0,1,1
331,1,0,1,1
47,12,2,1,1
3164,3,0,1,1
523,1,0,1,1
3273,6,2,1,1
211,6,3,1,1
3376,2,1,1,1
3767,6,2,1,1
1132,5,0,1,1
589,2,1,1,1
2274,3,2,0,1
1197,0,0,1,1
2753,0,3,0,0
1034,3,0,1,1
1387,5,0,1,1
2755,6,0,1,1
2899,4,1,1,1
4471,2,0,1,1
3707,6,1,0,1
916,5,0,0,1
1110,2,1,1,1
477,2,1,1,1
4297,3,0,1,1
3402,1,0,1,1
3592,2,1,1,1
2923,5,2,1,1
2108,9,0,0,1
2690,5,0,1,1
1403,12,6,1,0
3556,1,0,0,1
93,5,2,1,1
1015,0,1,1,1
2449,1,1,0,1
3151,3,1,0,1
1708,3,2,1,1
4317,4,0,1,1
4526,1,0,1,1
814,4,1,1,1
2901,2,2,1,1
3775,4,0,1,1
2683,6,0,0,1
4172,1,1,0,1
4971,4,1,1,1
2019,2,0,1,1
1236,0,2,0,0
2454,5,1,1,1
3335,3,0,1,1
635,12,3,1,1
3798,18,5,0,1
4482,18,3,1,1
820,7,1,0,1
1066,5,0,1,1
3161,7,3,0,1
4567,1,2,0,0
2883,6,0,0,1
4401,4,1,0,1
3045,6,1,0,1
3397,5,1,0,1
817,3,0,1,1
1065,5,0,1,1
4055,4,0,1,1
2981,0,1,0,1
4368,4,3,0,0
229,3,1,1,1
2373,3,2,0,1
3657,3,0,1,1
860,2,0,1,1
1506,11,9,1,0
2421,6,1,0,1
4977,4,1,0,1
199,8,10,0,0
4467,2,0,1,1
664,5,1,0,1
4449,1,1,1,1
3348,3,0,1,1
4150,2,0,1,1
112,8,2,1,1
1218,2,2,1,1
1983,6,0,1,1
1397,4,3,1,0
4574,2,0,1,1
3687,1,0,1,1
4736,2,0,1,1
4347,10,0,0,1
2286,0,2,1,0
1410,3,0,1,1
3420,3,0,1,1
2942,5,3,1,1
4721,1,1,1,1
2277,3,1,1,1
4024,2,0,1,1
2004,6,0,1,1
4203,4,1,1,1
3921,2,2,1,1
3933,3,1,1,1
3750,0,0,1,1
219,8,6,0,0
2668,6,8,0,0
738,2,0,1,1
2575,9,1,0,1
2716,5,1,1,1
4393,21,9,0,0
2561,7,1,1,1
4382,8,4,1,1
1292,5,0,1,1
4790,5,0,1,1
4416,4,1,1,1
1954,17,2,0,1
3163,14,5,1,1
4837,1,1,1,1
4776,0,0,1,1
3825,6,1,0,1
141,2,3,0,0
3567,5,1,0,1
4280,7,3,1,1
2466,2,0,1,1
158,5,0,0,1
4136,3,0,1,1
2154,2,0,1,1
1634,1,2,1,0
4860,8,0,1,1
1421,7,3,0,1
751,2,2,0,1
151,4,1,1,1
4632,5,1,0,1
5017,3,0,1,1
1645,2,1,1,1
3715,6,0,1,1
651,6,0,1,1
865,1,0,1,1
2160,1,0,1,1
4169,3,2,0,1
2480,1,1,0,1
2593,6,2,1,1
3127,9,1,1,1
1792,5,0,1,1
294,2,5,0,0
4060,11,0,1,1
1108,8,5,0,0
3766,6,5,1,0
4863,3,9,0,0
4352,3,0,1,1
4135,9,5,1,0
4506,1,0,1,1
2744,2,1,1,1
361,8,1,1,1
1749,5,2,0,1
801,3,0,1,1
4327,3,0,1,1
4460,5,4,0,0
4183,1,0,1,1
2410,3,0,1,1
2071,5,0,0,1
3377,4,1,1,1
4745,1,0,1,1
1528,5,1,1,1
2457,4,2,1,1
1288,4,1,0,1
4501,4,0,0,1
3628,3,1,1,1
5032,1,0,1,1
4485,2,0,1,1
3723,9,0,1,1
2385,6,2,1,1
424,4,2,1,1
2776,7,1,0,1
2139,7,3,1,1
3061,0,0,1,1
1947,1,1,0,1
281,2,3,1,0
115,7,2,1,1
2921,1,0,1,1
4637,3,0,0,1
140,11,3,1,1
2625,0,0,1,1
4459,6,1,1,1
4641,4,1,1,1
2035,1,2,1,0
996,1,1,1,1
82,13,3,1,1
1277,9,0,1,1
3144,3,1,0,1
1934,4,0,1,1
1721,6,4,1,0
3898,4,1,0,1
3650,3,0,1,1
747,1,0,1,1
544,1,0,1,1
3866,9,3,0,1
3431,2,0,1,1
2540,5,3,1,1
4888,1,0,1,1
4074,10,1,1,1
4727,3,1,1,1
337,2,1,1,1
1242,5,1,1,1
1767,1,3,0,0
1508,2,0,1,1
2,2,0,1,1
2269,2,1,0,1
2736,10,1,1,1
3587,4,0,1,1
2036,2,0,0,1
3733,5,1,0,1
3641,3,2,0,1
4273,1,1,0,1
3345,3,0,1,1
702,2,2,1,1
1149,5,4,0,0
4139,9,3,0,1
3949,11,2,1,1
1948,4,1,1,1
2911,13,4,1,1
80,19,3,1,1
4828,5,2,1,1
4216,7,2,1,1
2284,0,0,0,1
4364,7,0,1,1
1780,2,0,1,1
2565,8,4,1,1
279,5,0,1,1
466,2,0,1,1
4068,4,1,1,1
3978,8,4,0,1
334,6,0,1,1
2550,6,4,0,0
1975,1,1,1,1
2615,3,1,1,1
2472,1,1,0,1
4165,12,3,1,1
2043,4,0,0,1
3296,6,2,0,1
2919,2,2,1,1
4915,5,0,1,1
2123,13,1,1,1
4602,9,0,1,1
4235,8,0,1,1
4507,4,5,1,0
1431,8,1,1,1
2863,4,3,0,0
3905,6,0,1,1
4029,3,2,1,1
162,8,1,1,1
5015,3,0,1,1
2016,4,1,1,1
3594,2,1,1,1
1858,8,4,0,1
24,2,0,0,1
825,6,2,1,1
566,16,2,1,1
4440,2,2,1,1
3300,5,1,1,1
4318,2,1,0,1
899,16,4,1,1
703,5,0,1,1
4217,4,1,1,1
1625,3,0,1,1
1887,2,2,1,1
2974,8,0,1,1
826,5,0,0,1
2521,3,2,1,1
3034,3,2,1,1
624,8,5,1,0
1369,7,2,0,1
2412,3,1,1,1
3095,2,0,1,1
4326,6,1,0,1
3465,4,1,0,1
4535,5,1,1,1
4603,5,1,1,1
204,19,3,1,1
4636,0,0,1,1
3075,3,0,1,1
3432,3,2,0,1
243,2,0,1,1
3372,12,1,1,1
3072,6,2,1,1
3037,5,0,1,1
4979,1,0,0,1
2094,7,2,0,1
160,3,1,1,1
1980,3,0,1,1
1036,6,0,1,1
1592,3,0,1,1
1454,8,5,0,0
1960,6,1,1,1
343,3,1,0,1
3991,3,0,1,1
2628,1,3,0,0
2650,4,0,0,1
1282,1,1,0,1
4206,6,1,1,1
532,7,1,1,1
1706,2,0,1,1
4405,10,5,1,0
1475,0,0,1,1
2708,2,0,1,1
2273,18,5,1,1
4548,1,0,1,1
2868,5,1,0,1
3516,4,2,1,1
1575,10,1,1,1
455,8,0,1,1
1452,3,0,1,1
2623,2,5,0,0
2468,6,1,1,1
2991,8,3,1,1
4127,4,0,1,1
1895,2,6,0,0
3675,2,0,1,1
1019,1,0,0,1
2669,7,7,1,0
1525,6,0,1,1
3661,1,0,1,1
1548,1,1,0,1
2543,6,1,0,1
4418,6,0,0,1
4733,6,0,1,1
1451,3,0,1,1
114,7,0,1,1
17,6,1,1,1
3901,9,0,1,1
3892,3,3,0,0
3483,6,2,1,1
3693,18,2,1,1
2275,6,1,1,1
1349,2,0,0,1
3842,4,1,1,1
101,6,0,0,1
4106,2,0,1,1
2967,1,0,1,1
3021,2,0,0,1
4341,10,1,1,1
1379,2,0,1,1
1075,3,1,1,1
3143,8,0,1,1
4488,7,3,1,1
4952,1,0,1,1
2573,3,2,1,1
33,11,5,0,0
1691,3,1,1,1
683,2,0,1,1
2860,2,1,1,1
3388,4,0,1,1
2181,9,4,0,1
490,1,0,1,1
1484,5,2,1,1
4168,7,2,1,1
4550,6,2,1,1
3634,12,3,1,1
2994,5,1,0,1
1633,4,0,0,1
3504,2,0,0,1
4089,8,0,1,1
3538,6,0,1,1
2483,1,1,1,1
1782,2,0,1,1
3860,3,0,1,1
4406,8,2,1,1
3515,3,1,1,1
4537,7,2,0,1
94,2,0,1,1
4253,3,0,1,1
1969,7,1,0,1
2382,6,2,0,1
4722,3,0,0,1
2766,4,1,1,1
2192,3,0,1,1
2943,2,0,1,1
1971,0,0,1,1
1511,3,0,1,1
2723,2,2,1,1
3018,12,2,1,1
2560,1,1,1,1
1377,1,0,0,1
2049,3,0,1,1
3103,3,0,1,1
994,2,0,1,1
4160,9,3,1,1
3308,0,2,1,0
4842,2,0,1,1
2894,2,0,0,1
584,6,0,1,1
2000,7,3,0,1
2890,0,0,1,1
2414,8,0,1,1
1835,3,0,1,1
3598,2,0,1,1
1018,1,0,1,1
1162,3,0,1,1
217,10,1,1,1
4729,9,1,0,1
2816,8,0,1,1
3448,2,0,1,1
1100,8,2,0,1
2884,5,1,1,1
123,8,9,0,0
2433,9,4,1,1
4626,2,0,1,1
4301,10,1,1,1
4247,1,2,1,0
955,6,4,0,0
605,9,2,1,1
4174,1,1,1,1
585,2,0,1,1
3401,3,0,0,1
2163,4,0,1,1
3784,2,2,1,1
606,7,0,1,1
2754,4,0,0,1
1233,1,0,1,1
1877,1,0,1,1
2786,3,1,1,1
767,1,0,1,1
9,7,1,1,1
3094,8,1,1,1
4077,4,0,1,1
1974,6,3,1,1
3975,24,9,0,1
3109,4,1,1,1
4407,1,0,1,1
4018,0,0,1,1
104,15,0,1,1
1668,2,0,1,1
4775,2,0,1,1
1060,5,0,1,1
4225,5,2,0,1
149,12,6,0,0
1772,4,1,1,1
2592,2,1,1,1
1488,6,1,1,1
195,4,0,0,1
4149,25,5,1,1
1613,9,0,1,1
3654,4,0,1,1
1498,25,7,0,1
3928,4,1,1,1
1546,4,3,1,0
3494,14,2,1,1
1083,1,1,1,1
4204,2,0,0,1
923,3,1,0,1
3854,6,1,1,1
807,1,0,1,1
3444,3,1,1,1
1850,11,2,1,1
4903,1,6,0,0
4276,7,1,1,1
394,3,0,1,1
3982,0,0,1,1
3554,9,2,1,1
1311,5,0,1,1
1301,1,0,1,1
208,6,4,1,0
2874,3,0,1,1
454,8,1,1,1
1419,3,0,0,1
1491,3,1,0,1
3527,3,1,1,1
3492,3,1,1,1
3566,7,2,1,1
844,9,2,0,1
2693,1,0,1,1
2110,1,1,0,1
2572,7,1,1,1
2902,2,2,1,1
3557,15,5,0,1
4528,2,1,1,1
3313,6,3,1,1
3958,1,0,1,1
198,8,7,1,0
2335,2,0,1,1
3130,7,0,1,1
4265,2,2,1,1
3182,3,1,1,1
4702,13,6,1,0
1739,1,4,0,0
44,7,12,0,0
2101,6,0,1,1
3098,9,3,0,1
4088,3,1,1,1
4783,4,6,0,0
1424,3,0,0,1
1816,2,0,0,1
2241,11,3,1,1
1443,3,0,0,1
1054,4,0,1,1
832,1,1,1,1
88,1,0,1,1
3828,0,0,1,1
3863,10,1,1,1
4381,4,1,0,1
278,7,1,1,1
1223,7,0,1,1
383,4,1,1,1
4609,2,1,1,1
753,9,0,1,1
1658,11,0,1,1
3015,2,0,1,1
866,5,2,0,1
97,8,5,1,0
1436,3,0,1,1
1614,3,0,1,1
704,7,1,1,1
2667,8,0,1,1
1279,4,1,1,1
3139,0,0,0,1
1434,11,1,1,1
4061,8,0,1,1
3924,3,2,1,1
2182,6,0,0,1
2342,9,3,1,1
1970,6,2,0,1
4462,1,0,1,1
3275,1,1,0,1
1695,4,1,1,1
3950,15,7,1,0
2153,7,0,1,1
1263,5,0,1,1
3346,1,0,0,1
714,5,0,1,1
25,1,2,1,0
321,23,2,1,1
346,1,1,1,1
3449,2,1,1,1
183,9,1,1,1
3525,7,0,1,1
2682,3,3,0,0
1229,0,0,1,1
2756,1,1,1,1
3461,1,0,1,1
906,4,0,1,1
2364,6,1,1,1
4629,3,1,1,1
3835,13,1,1,1
2141,7,2,1,1
414,5,1,1,1
2953,1,0,1,1
3451,5,0,1,1
3541,5,0,1,1
2896,2,1,1,1
2380,4,2,1,1
2924,3,3,0,0
4358,0,0,1,1
1356,1,1,1,1
3450,6,2,1,1
2195,1,1,1,1
359,7,1,1,1
1742,5,0,1,1
1793,3,0,1,1
249,8,0,1,1
687,14,4,1,1
499,1,0,1,1
1467,1,0,1,1
3969,3,0,1,1
2887,6,0,1,1
116,3,1,1,1
691,5,1,1,1
735,16,2,0,1
3593,4,1,0,1
3588,7,3,1,1
1744,7,4,1,0
3989,2,1,1,1
3941,6,1,1,1
600,6,1,1,1
1013,5,3,1,1
317,12,4,1,1
2056,2,0,0,1
4919,4,4,1,0
4654,9,4,1,1
1474,1,4,0,0
1318,3,1,1,1
3111,3,0,1,1
4461,3,1,1,1
2206,1,3,1,0
2186,10,1,0,1
3366,3,1,0,1
2849,1,0,0,1
4170,7,0,1,1
72,3,3,0,0
748,5,0,1,1
4735,4,1,1,1
3022,6,1,1,1
447,3,2,0,1
1641,6,0,1,1
275,9,2,1,1
187,3,0,1,1
496,3,1,1,1
1889,5,0,1,1
1559,4,1,0,1
3322,4,0,0,1
3315,10,4,0,1
4839,1,1,1,1
620,6,2,0,1
2007,1,0,1,1
932,0,2,1,0
1579,1,0,1,1
4454,1,0,1,1
1266,2,0,1,1
3747,2,1,1,1
2063,21,14,0,0
1543,4,0,1,1
1219,2,0,1,1
3910,4,2,1,1
637,2,1,1,1
1803,2,0,0,1
462,10,2,0,1
4427,4,0,1,1
3084,1,0,1,1
1102,3,1,0,1
3824,6,0,1,1
1847,6,0,1,1
1053,4,3,1,0
838,16,1,1,1
295,9,2,1,1
301,17,5,0,1
1603,8,5,0,0
4140,4,3,1,0
3,5,1,1,1
998,2,0,1,1
3838,10,2,1,1
1880,3,2,1,1
2233,7,5,1,0
3493,2,0,1,1
4806,17,3,0,1
166,3,0,1,1
1929,7,2,0,1
590,10,2,0,1
2727,1,0,1,1
1291,7,1,1,1
2239,3,1,1,1
4942,1,1,1,1
4555,10,1,1,1
610,3,2,1,1
1422,4,1,1,1
709,1,0,1,1
1433,1,1,1,1
1519,5,3,1,1
2941,3,0,1,1
191,2,1,1,1
2405,5,0,1,1
3856,4,1,1,1
2061,1,0,1,1
3627,9,1,1,1
2764,5,0,0,1
2046,6,0,1,1
4430,1,4,1,0
4252,2,0,1,1
3040,13,1,1,1
1125,3,1,0,1
4732,4,1,0,1
1565,3,0,1,1
4289,2,1,1,1
1972,3,1,1,1
1550,7,0,1,1
1140,5,0,1,1
1722,8,0,1,1
2875,5,1,1,1
3160,2,1,1,1
853,10,1,0,1
816,8,1,0,1
1350,5,0,0,1
4865,5,5,0,0
1727,6,1,1,1
283,1,1,1,1
2761,7,0,1,1
4627,2,0,0,1
3623,2,0,0,1
3424,8,2,1,1
3416,4,5,0,0
4093,2,1,1,1
2678,3,1,1,1
4325,2,0,1,1
4433,5,4,1,0
2252,0,0,1,1
3729,0,0,1,1
4787,10,2,0,1
4725,17,4,1,1
2118,2,0,1,1
1329,4,0,0,1
1580,6,1,0,1
1172,1,1,1,1
2506,5,1,1,1
4412,4,1,1,1
11,4,0,1,1
4687,6,1,0,1
3899,19,0,1,1
3526,5,0,1,1
847,1,0,1,1
2712,4,0,1,1
241,4,2,1,1
3367,17,8,1,0
2591,5,0,1,1
2880,7,2,0,1
106,2,1,0,1
3188,3,0,1,1
1359,5,0,1,1
3148,5,3,1,1
4199,0,0,0,1
3317,3,1,0,1
1306,5,1,0,1
3116,11,0,1,1
3403,1,0,0,1
2249,6,1,1,1
1718,9,0,1,1
1681,7,3,1,1
4496,6,1,1,1
449,6,1,1,1
1776,16,6,1,1
3882,5,0,1,1
1896,1,2,1,0
921,2,3,0,0
54,12,3,1,1
3561,12,5,0,1
4728,3,1,1,1
2424,3,1,1,1
3501,5,3,0,1
1086,2,2,0,1
668,4,0,1,1
3820,3,0,1,1
2307,5,0,1,1
1861,3,5,1,0
516,3,0,1,1
674,2,0,1,1
3113,7,1,1,1
1050,11,2,1,1
2984,0,0,1,1
1741,0,0,1,1
1823,4,1,1,1
3537,4,6,0,0
1486,7,2,1,1
2452,3,0,1,1
1407,2,0,1,1
78,2,4,1,0
4409,10,0,0,1
4556,5,0,1,1
4716,1,1,1,1
2651,0,1,1,1
2511,3,4,1,0
1097,10,1,1,1
4922,1,0,1,1
4493,3,1,1,1
3643,9,1,0,1
40,3,0,1,1
1882,11,3,1,1
549,14,2,0,1
2567,2,3,1,0
2626,0,0,1,1
1208,1,0,1,1
2497,1,1,0,1
2255,5,0,1,1
4319,4,3,0,0
